75 2
4 53 a
5 63 a
10 59 a
9 77 a
13 49 a
13 69 a
12 88 a
15 75 a
18 61 a
19 65 a
22 74 a
27 72 a
28 76 a
24 58 a
27 55 a
28 60 a
30 52 a
31 60 a
32 61 a
36 72 a
28 147 b
32 149 b
35 153 b
33 154 b
38 151 b
41 150 b
38 145 b
38 143 b
32 143 b
34 141 b
44 156 b
44 149 b
44 143 b
46 142 b
47 149 b
49 152 b
50 142 b
53 144 b
52 152 b
55 155 b
54 124 b
60 136 b
63 139 b
86 132 c
85 115 c
85 96 c
78 94 c
74 96 c
97 122 c
98 116 c
98 124 c
99 119 c
99 128 c
101 115 c
108 111 c
110 111 c
108 116 c
111 126 c
115 117 c
117 115 c
70 4 d
77 12 d
83 21 d
61 15 d
69 15 d
78 16 d
66 18 d
58 13 d
64 20 d
69 21 d
66 23 d
61 25 d
76 27 d
72 31 d
64 30 d

